Flow_Duration,Total_Fwd_Packets,Total_Bwd_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Protocol,Flow_Bytes/s,Flow_Packets/s,Packet_Length_Variance,Label
4.69,228,8,915,4829,922,210,17,3241.77,335.32,254.58,DDoS
30.1,96,20,3121,612,1981,388,17,16409.35,13.27,28.16,XSS
13.17,52,59,4742,2949,111,428,6,13793.57,131.26,204.13,Benign
9.13,96,36,3220,659,645,331,6,2039.8,278.61,1080.87,SqlInjection
1.7,4,19,116,3772,778,436,6,2348.99,20.0,2.32,Benign
1.7,94,90,1343,4683,1415,441,17,4627.85,6.88,1239.58,SqlInjection
0.6,23,67,2130,3443,1920,136,17,6626.63,135.14,253.89,XSS
20.11,15,19,2624,4170,748,153,17,9630.02,85.44,385.44,Benign
9.19,43,20,1169,4899,1092,77,6,4603.13,184.41,1261.96,Benign
12.31,29,96,3544,1570,226,63,6,6208.91,15.06,212.59,Benign
0.21,36,71,2665,680,445,192,6,13762.29,158.61,213.05,Benign
35.04,135,52,1160,2394,494,179,6,373.73,1443.59,668.75,BruteForce
17.86,32,33,2427,3247,1306,192,17,2909.37,17.87,300.94,Benign
2.39,71,40,3520,4349,125,336,17,12494.92,17.94,127.19,Benign
2.01,59,39,401,1779,314,322,17,22557.67,168.51,9279.8,SqlInjection
2.03,444,2,4376,3606,504,168,17,7167.79,109.42,75.91,DDoS
3.63,28,1,706,2844,767,99,6,7595.3,74.04,97.03,Benign
7.44,66,11,3270,3456,784,393,17,1133.61,44.45,344.94,Benign
5.66,42,92,799,4145,1457,232,17,5931.43,209.72,271.44,Benign
3.44,45,57,1239,1343,900,222,17,7606.07,49.83,1231.65,Benign
9.46,435,4,290,3218,1440,271,6,2776.93,169.61,225.02,DDoS
1.5,57,50,2400,2241,193,248,6,3136.75,57.83,434.45,Benign
3.46,6,23,1080,3159,934,183,6,4736.65,47.31,500.2,Benign
4.56,28,31,3075,4648,1142,246,17,202.75,62.12,6.59,Benign
6.09,28,94,1284,3059,1172,166,6,3887.25,35.86,544.63,Benign
15.38,184,42,3427,2365,445,39,6,2375.57,321.43,98.03,BruteForce
2.23,84,99,3494,2579,1098,460,6,3967.49,69.86,0.48,SqlInjection
7.22,30,7,227,4746,997,421,6,1275.63,26.42,80.47,Benign
8.98,62,16,2165,1735,940,66,6,22120.8,229.83,267.75,Benign
0.48,75,90,1916,1857,1224,252,6,9003.99,48.43,44.61,Benign
9.35,384,2,669,4552,1217,324,6,11366.33,78.43,2884.04,DDoS
1.87,89,2,1995,2170,618,33,6,15567.09,236.95,410.3,SqlInjection
0.67,62,1,2833,2949,1112,162,17,6900.36,97.88,452.41,Benign
29.74,63,48,3963,3351,158,434,6,909.32,990.41,34.72,BruteForce
33.71,128,12,4821,3830,1115,20,17,7702.58,930.71,693.07,BruteForce
16.52,27,69,4114,2589,1259,392,6,8839.23,98.81,117.8,Benign
3.63,471,5,3001,1731,984,73,6,13682.17,40.78,1141.66,DDoS
1.03,77,32,1786,2916,447,393,17,5650.35,15.0,114.79,Benign
11.53,3,9,3109,1115,1296,278,6,1364.85,158.0,105.79,Benign
5.8,70,99,254,1448,683,163,6,3337.62,96.78,18.62,Benign
1.3,72,19,2637,4711,1206,490,6,4511.15,76.24,319.39,Benign
6.84,27,48,1509,3187,1236,460,17,10382.25,224.33,416.02,Benign
0.35,9,80,4852,2939,1396,478,6,8457.82,155.4,33.98,XSS
24.0,62,3,884,435,782,31,17,4402.07,16.45,747.0,Benign
